x,y,order
284,122,532
285,122,533
286,121,534
287,121,535
288,121,536
289,120,537
290,119,538
291,119,539
292,118,540
293,117,541
294,116,542
294,115,543
295,114,544
295,113,545
296,112,546
296,111,547
297,110,548
298,109,549
298,108,550
298,107,551
299,106,552
299,105,553
299,104,554
299,103,555
300,102,556
300,101,557
300,100,558
300,99,559
300,98,560
300,97,561
300,96,562
300,95,563
300,94,564
300,93,565
300,92,566
300,91,567
300,90,568
300,89,569
299,88,570
299,87,571
299,86,572
299,85,573
298,84,574
298,83,575
297,82,576
297,81,577
296,80,578
296,79,579
295,78,580
294,77,581
294,76,582
293,76,583
292,75,584
291,74,585
290,73,586
289,72,587
288,72,588
287,71,589
286,71,590
285,70,591
284,70,592
283,70,593
282,70,594
281,69,595
280,69,596
279,69,597
278,69,598
277,69,599
276,70,600
275,70,601
274,70,602
273,70,603
272,71,604
271,71,605
270,71,606
269,71,607
268,72,608
267,72,609
266,72,610
265,73,611
264,73,612
263,73,613
262,73,614
261,74,615
260,74,616
259,74,617
258,74,618
257,74,619
256,74,620
255,74,621
254,74,622
253,74,623
252,74,624
251,74,625
250,73,626
249,73,627
248,72,628
247,72,629
246,71,630
245,70,631
244,69,632
243,68,633
242,67,634
241,66,635
240,65,636
240,64,637
239,63,638
239,62,639
238,61,640
238,60,641
238,59,642
237,58,643
237,57,644
237,56,645
237,55,646
236,54,647
236,53,648
236,52,649
236,51,650
236,50,651
236,49,652
236,48,653
236,47,654
236,46,655
236,45,656
236,44,657
236,43,658
236,42,659
236,41,660
236,40,661
236,39,662
236,38,663
236,37,664
236,36,665
237,35,666
237,34,667
237,33,668
237,32,669
237,31,670
237,30,671
237,29,672
238,28,673
238,27,674
238,26,675
238,25,676
238,24,677
239,23,678
239,22,679
239,21,680
239,20,681
240,19,682
240,18,683
240,17,684
240,16,685
241,15,686
241,14,687
241,13,688
242,12,689
242,11,690
242,10,691
242,9,692
243,8,693
243,7,694
244,6,695
244,5,696
243,5,697
242,5,698
241,5,699
240,5,700
239,5,701
238,5,702
237,5,703
236,5,704
235,5,705
234,5,706
233,5,707
232,5,708
231,5,709
230,5,710
229,5,711
228,5,712
227,5,713
226,5,714
225,5,715
224,5,716
223,5,717
222,5,718
221,5,719
220,5,720
219,5,721
218,5,722
217,5,723
216,5,724
215,5,725
214,5,726
213,5,727
212,5,728
211,5,729
210,5,730
209,5,731
208,5,732
207,5,733
206,5,734
205,5,735
204,5,736
203,5,737
202,5,738
201,5,739
200,5,740
199,5,741
198,5,742
197,5,743
196,5,744
195,5,745
194,5,746
193,5,747
192,5,748
191,5,749
190,5,750
189,5,751
188,5,752
187,5,753
186,5,754
185,5,755
184,5,756
183,5,757
182,5,758
181,5,759
180,5,760
179,5,761
178,5,762
177,5,763
176,5,764
175,5,765
174,5,766
173,5,767
172,5,768
171,5,769
170,5,770
169,5,771
168,5,772
167,5,773
166,5,774
165,5,775
164,5,776
163,5,777
162,5,778
161,5,779
160,5,780
159,5,781
158,5,782
157,5,783
156,5,784
