x,y
239,169
239,170
239,171
239,172
239,173
239,194
240,5
240,16
240,17
240,18
240,19
240,64
240,65
240,129
240,174
240,175
240,176
240,177
240,194
241,5
241,13
241,14
241,15
241,66
241,127
241,128
241,178
241,179
241,180
241,181
241,194
242,5
242,9
242,10
242,11
242,12
242,67
242,126
242,182
242,183
242,184
242,185
242,193
243,5
243,7
243,8
243,68
243,125
243,186
243,187
243,188
243,189
243,193
244,5
244,6
244,69
244,124
244,190
244,191
244,192
245,70
245,123
246,71
246,123
247,72
247,122
248,72
248,121
249,73
249,121
250,73
250,120
251,74
251,120
252,74
252,120
253,74
253,119
254,74
254,119
255,74
255,119
256,74
256,119
257,74
257,119
258,74
258,119
259,74
259,118
260,74
260,118
261,74
261,118
262,73
262,118
263,73
263,119
264,73
264,119
265,73
265,119
266,72
266,119
267,72
267,119
268,72
268,119
269,71
269,119
270,71
270,120
271,71
271,120
272,71
272,120
273,70
273,120
274,70
274,121
275,70
275,121
276,70
276,121
277,69
277,121
278,69
278,121
279,69
279,122
280,69
280,122
281,69
281,122
282,70
282,122
283,70
283,122
284,70
284,122
285,70
285,122
286,71
286,121
287,71
287,121
288,72
288,121
289,72
289,120
290,73
290,119
291,74
291,119
292,75
292,118
293,76
293,117
294,76
294,77
294,115
294,116
295,78
295,113
295,114
296,79
296,80
296,111
296,112
297,81
297,82
297,110
298,83
298,84
298,107
298,108
298,109
299,85
299,86
299,87
299,88
299,103
299,104
299,105
299,106
300,89
300,90
300,91
300,92
300,93
300,94
300,95
300,96
300,97
300,98
300,99
300,100
300,101
300,102
